id,title,state,time,created_at,updated_at
1,2007年春勉強会,privated,2007/01/15,2018/04/01 00:00:00,2018/04/01 00:00:00
2,2007年度 春学期 ゼミ時間割り,privated,2007/04/12,2018/04/01 00:00:00,2018/04/01 00:00:00
3,2007年度 春学期 発表日程,privated,2007/04/12,2018/04/01 00:00:00,2018/04/01 00:00:00
4,2007年夏休み勉強会＜変更＞,privated,2007/08/06,2018/04/01 00:00:00,2018/04/01 00:00:00
5,2007年度 秋学期 発表日程,privated,2007/09/27,2018/04/01 00:00:00,2018/04/01 00:00:00
6,2007年度　卒業研究中間発表会日程決定,privated,2007/10/08,2018/04/01 00:00:00,2018/04/01 00:00:00
7,2007年度　ラシキア研究室忘年会日程決定,privated,2007/12/14,2018/04/01 00:00:00,2018/04/01 00:00:00
8,2007年度　最終ゼミ（４年生お別れ会),privated,2008/01/30,2018/04/01 00:00:00,2018/04/01 00:00:00
9,動的画像処理実利用化ワークショップ2008を中京大学で開催,privated,2008/03/05,2018/04/01 00:00:00,2018/04/01 00:00:00
10,新入生オリエンテーション開催,privated,2009/04/24,2018/04/01 00:00:00,2018/04/01 00:00:00
11,2年生を対象にゼミ紹介,privated,2009/05/28,2018/04/01 00:00:00,2018/04/01 00:00:00
12,新ゼミ生歓迎会,privated,2009/07/09,2018/04/01 00:00:00,2018/04/01 00:00:00
13,ゼミ合宿 in蓼科,privated,2009/09/08,2018/04/01 00:00:00,2018/04/01 00:00:00
14,大学院修士課程 中間発表,privated,2009/09/14,2018/04/01 00:00:00,2018/04/01 00:00:00
15,オープンキャンパス,privated,2009/09/20,2018/04/01 00:00:00,2018/04/01 00:00:00
16,中間発表,privated,2009/10/29,2018/04/01 00:00:00,2018/04/01 00:00:00
17,ミニオープンキャンパス,privated,2009/10/31,2018/04/01 00:00:00,2018/04/01 00:00:00
18,橋本ゼミとの合同ゼミ,privated,2009/11/12,2018/04/01 00:00:00,2018/04/01 00:00:00
19,卒業研究発表,privated,2009/12/19,2018/04/01 00:00:00,2018/04/01 00:00:00
20,卒業研究発表打ち上げ (飲み会),privated,2009/12/19,2018/04/01 00:00:00,2018/04/01 00:00:00
21,卒業論文提出期間,privated,2009/01/18,2018/04/01 00:00:00,2018/04/01 00:00:00
22,動的画像処理実利用化ワークショップ DIA2010,privated,2009/03/04,2018/04/01 00:00:00,2018/04/01 00:00:00
23,新入生オリエンテーション（研究室紹介）,privated,2010/04/05,2018/04/01 00:00:00,2018/04/01 00:00:00
24,新2年生対象、研究室紹介,privated,2010/06/10,2018/04/01 00:00:00,2018/04/01 00:00:00
25,二年生歓迎会,privated,2010/07/08,2018/04/01 00:00:00,2018/04/01 00:00:00
26,中間発表,privated,2010/10/21,2018/04/01 00:00:00,2018/04/01 00:00:00
27,卒業論文本発表,privated,2010/12/18,2018/04/01 00:00:00,2018/04/01 00:00:00
28,卒研発表,privated,2011/12/17,2018/04/01 00:00:00,2018/04/01 00:00:00
29,中間発表,privated,2011/10/20,2018/04/01 00:00:00,2018/04/01 00:00:00
30,オープンキャンパス,privated,2011/09/18,2018/04/01 00:00:00,2018/04/01 00:00:00
31,15:10～ ゼミ配属者決定,privated,2011/06/23,2018/04/01 00:00:00,2018/04/01 00:00:00
32,15:10～ ゼミ訪問,privated,2011/06/14,2018/04/01 00:00:00,2018/04/01 00:00:00
33,修士論文審査会,privated,2011/02/14,2018/04/01 00:00:00,2018/04/01 00:00:00
34,卒研発表・飲み会,privated,2012/12/20,2018/04/01 00:00:00,2018/04/01 00:00:00
35,3年研究発表（辻 裕佑 田口 竜一朗） / 2年ITニュース・Rubyレクチャー,privated,2012/12/13,2018/04/01 00:00:00,2018/04/01 00:00:00
36,3年研究発表（和田 太陽 益川 瑛大） / 2年ITニュース・Rubyレクチャー,privated,2012/12/06,2018/04/01 00:00:00,2018/04/01 00:00:00
37,3年中間再発表（田口 竜一朗 鈴木 冬惟 石河 洋祐 井坂 尚也 佐々木 辰哉）,privated,2012/11/29,2018/04/01 00:00:00,2018/04/01 00:00:00
38,3年研究発表（石河 洋祐井坂 尚也） / 2年ITニュース・Android/iPhoneレクチャー,privated,2012/11/29,2018/04/01 00:00:00,2018/04/01 00:00:00
